"name","abstract","authors","year","base","analysis","review"
"Verification of new floating capabilities in FAST v8","FAST v8 is the latest release of the National Renewable Energy Laboratory&rsquo;s wind turbine aero-hydro-servo-elastic simulation software, with several new capabilities and major changes from the previous version. FAST has been significantly altered to improve the simulator&rsquo;s modularity and to include new functionalities in the form of modules in the FAST v8 framework. This paper focuses on the improvements made for the modeling of floating offshore wind systems. The most significant change was to the hydrodynamic load calculation algorithms, which are embedded in the HydroDyn module. HydroDyn is now capable of applying strip-theory (via an extension of Morison&rsquo;s equation) at the member level for user-defined geometries. Users may now use a strip-theory-only approach for applying the hydrodynamic loads, as well as the previous potential-flow (radiation/diffraction) approach and a hybrid combination of both methods (radiation/diffraction and the drag component of Morison&rsquo;s equation). Second-order hydrodynamic implementations in both the wave kinematics used by the strip-theory solution and the wave-excitation loads in the potential-flow solution were also added to HydroDyn. The new floating capabilities were verified through a direct code-to-code comparison. We conducted a series of simulations of the International Energy Agency Wind Task 30 Offshore Code Comparison Collaboration Continuation (OC4) floating semisubmersible model and compared the wind turbine response predicted by FAST v8, the corresponding FAST v7 results, and results from other participants in the OC4 project. We found good agreement between FAST v7 and FAST v8 when using the linear radiation/diffraction modeling approach. The strip-theory-based approach inherently differs from the radiation/diffraction approach used in FAST v7 and we identified and characterized the differences. Enabling the second-order effects significantly improved the agreement between FAST v8 and the other OC4 participants.<br/> &copy; 2015, American Institute of Aeronautics and Astronautics Inc. All rights reserved.","Wendt, Fabian and Robertson, Amy and Jonkman, Jason and Hayman, Greg",2015,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Facilitating the specification of wsmo ontology using model-driven development","A semantic web service extends the capabilities of a web service by associating a semantic description of the web service in order to enable better search, discovery, selection, composition and integration. Semantically rich language such as Web Service Modeling Ontology (WSMO) has been created in order to provide a mechanism for describing the semantics of semantic web services. Unfortunately, for the common developer the learning curve for such languages can be steep, providing a barrier for adoption and widespread use. In this paper, we present a Model- Driven Architecture (MDA) approach for facilitating the specification of WSMO ontology through the use of meta-model and UML profile for modelling semantic web services; we concentrate our efforts to develop a transformation approach based on MDA to automate the generation of code by translating XMI specifications (e.g. XML encodings of UML) into equivalent WSMO specifications using Atlas Transformation Language (ATL) transformations. &copy;2014 Inderscience Enterprises Ltd.<br/>","Bensaber, Djamel Amar",2014,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Selecting and scaling methods of bi-directional horizontal ground motion records using BdMA spectrum","Bi-directional ground motions with two orthogonal horizontal values are required to predict seismic response of high-rise and complicated buildings using time history analysis. By reviewing current methods of selecting and scaling bi-directional ground motion records, it points out shortcomings of the Chinese codes in this aspect. In addition, based on the bi-directional maximum acceleration (BdMA) spectrum, the BdMA method of selecting and scaling ground motion records was developed. Nonlinear time history analyses were performed for a representative building subjected to bi-directional ground motions selected using the BdMA method and the one used in the current code in China. The differences of predicting the structural seismic response using these two methods were compared. Further the reliability of seismic response prediction based on the current Chinese code was evaluated. The results indicate that, the BdMA method produces a larger structural seismic response than the Chinese code method. The former one has 7% and 15% larger results than the latter for force and displacement prediction respectively. With the change of types of ground motions controlling seismic hazard, the method in China code has different levels of hazard compared to the BdMA method. Using uniform performance index to control the structural seismic performance, the ultimate structural seismic safety for these two methods is different. The BdMA method of selecting and scaling bi-directional ground motions is recommended.<br/> &copy; 2017, Editorial Office of Journal of Building Structures. All right reserved.","Wang, Min and Li, Wenjie and Zhu, Aiping and Fu, Jianping",2017,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Using random error correcting codes in near-collision attacks on generic hash-functions","In this paper we consider the problem of finding nearcollisions with Hamming distance bounded by r in generic n-bit hash functions. In 2011, Lamberger and Rijmen proposed a modified version of Pollard&rsquo;s rho method, and in 2012 Leurent improved this memoryless algorithm by using any available memory to store chain endpoints. Both algorithms use a perfect error correcting code to change near-collisions into full-collisions, but such codes are rare and have very small distance. In this paper we propose using randomly chosen linear codes, whose decoding can be made efficient by using some of the available memory to store error-correction tables. Compared to Leurent&rsquo;s algorithm, we experimentally verified an improvement ratio of about 3 in a small example with n = 160 and r = 33 which we implemented on a single PC, and mathematically predicted a significant improvement ratio of about 730 in a larger example with n = 1024 and r = 100, using 2<sup>40</sup>memory.<br/> &copy; Springer International Publishing Switzerland 2014.","Polak, Inna and Shamir, Adi",2014,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Towards a unified heterogeneous development model in android","The advent of emergent SoCs and MPSocs opens a new era on The small mobile devices (Smartphones, Tablets,.) in Terms of computing capabilities and applications To be addressed. The efficient use of such devices, including The parallel power, is still a challenge for general purpose programmers due To The very high learning curve demanding very specific knowledge of The devices. While some efforts are currently being made, mainly in The scientific scope, The scenario is still quite far from being The desirable for non-scientific applications where very few of Them Take advantage of The parallel capabilities of The devices. We propose Paralldroid (Framework for Parallelism in Android), a parallel development framework oriented To general purpose programmers for standard mobile devices. Paralldroid presents a programming model That unifies The different programming models of Android. The user just implements a Java application and introduces a set of Paralldroid annotations in The sections of code To be optimized. The Paralldroid system automatically generates The native C, OpenCL or Renderscript code for The annotated section. The Paralldroid Transformation model involves source-To-source Transformations and skeletal programming. &copy; 2014 Springer-Verlag Berlin Heidelberg.<br/>","Acosta, Alejandro and Almeida, Francisc",2014,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Bridging a gap: in search of an analytical tool capturing teachers perceptions of their own teaching","Computing and computers are introduced in school as important examples of technology, sometimes as a subject matter of their own, and sometimes they are used as tools for other subjects. All in all, one might even say that learning about computing and computers is part of learning about technology. Lately, many countries have implemented programming in their curricula as a means to address society&rsquo;s dependence on, and need for programming knowledge and code. Programming is a fairly new school subject without educational traditions and, due to the rapid technological development, in constant change. This means that most programming teachers must decide for themselves what and how to teach. In this study, programming teachers&rsquo; teaching is studied. With the aim of exploring the connection/possible gap between teacher&rsquo;s intentions and the teacher&rsquo;s instructional practice, an expansion of the conceptual apparatus of phenomenography and variation theory is tested. In the article, phenomenography and variation theory and the suggested supplementary theoretical tool (Georg Henrik von Wright&rsquo;s model of logic of events) are briefly presented and then deployed upon one selected case. Findings reveal that teachers&rsquo; intentions (reflected in their actions) include an emphasis (of teachers&rsquo; side) on the importance of balancing theory and practice, using different learning strategies, encouraging learning by trial-and-error and fostering collaboration between students for a deeper understanding of concepts. In conclusion, logic of events interpretations proves to be useful as a complementary tool to the conceptual apparatus of phenomenography.<br/> &copy; 2016, Springer Science+Business Media Dordrecht.","Rolandsson, Lennart and Skogh, Inga-Britt and Mannikko Barbutiu, Sirkku",2017,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Design of in-service repair welding procedures for operating pipelines: Critical assessment of variables affecting restraint level and heat-affected zone microstructures of vintage pipelines","In order to maintain pipeline operation during repair and maintenance work, operators typically install branch (i.e. hot-tap) and repair fittings (i.e. sleeves) onto flowing pipelines. In-service welding procedures must be designed for these installations per code requirement. Welding induced cracking during the installation of pressure containing repair fittings is a major concern when welding onto flowing pipelines. Repair fitting dimensions influence cooling rates and restraint conditions. A combination of high stress and brittle microstructures formed during the rapid cooling of high carbon equivalent vintage pipeline steel can create conditions that promote the formation of cracks. CSA Z662 and API 1104 specify essential variables (requirements) that aim to mitigate risk of cracking by qualifying the weld procedure to equal or more severe conditions than expected in the field. These essential variables can include material carbon equivalent, cooling rate, and level of restraint limitations to be applied during qualification of the weld procedure. This paper will focus on the creation of a safe welding procedure by prewelding assessment of the phase transformations that occur during welding on liquid product vintage pipelines and modelling the influence of readily quantifiable variables on the level of restraint induced by repair fittings. Finite element analysis (FEA) was utilized to study the thermal history of simulated in-service weld heat affected zones to approximate the stress and strain magnitudes (level of restraint) at the fillet weld toe of simulated sleeve repairs. Thermal analysis was conducted on various weld bead geometries to simulate the effects of cooling rates and tempering. To aid in the design of a safe weld procedure, two continuous cooling transformation (CCT) diagrams were constructed from a vintage 1960s API 5L X52 pipe with a carbon equivalent of 0.51% (CEN and IIW). This enabled the selection of optimal welding parameters that produced desirable HAZ microstructures. The modeling of restraint level accounted for the thermal expansion and contraction of a multipass fillet weld sequence on various pipe and sleeve thicknesses. The sleeve-on-pipe configuration was compared to the plate-on-plate configuration. Sleeve wall thickness was varied from 1 to 7 times the pipe wall thickness to account for any possible instances where a very thick fitting, such as emergency fittings (e.g. STOPPLE), may be installed on a thin pipeline. Test welds were completed on the 1960s vintage pipeline steel with a high volume water flow loop to simulate operating conditions. The heat affected zone hardness values correlated well with those predicted by the FEA and CCT results.<br/> &copy; Copyright 2016 by ASME.","Guest, Stuart and Dyck, Jason and Egbewande, Afolabi and MacKenzie, Robert and Sadowski, Mark",2016,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Online structural health monitoring and parameter estimation for vibrating active cantilever beams using low-priced microcontrollers","This paper presents a structural health monitoring and parameter estimation system for vibrating active cantilever beams using low-cost embedded computing hardware. The actuator input and the measured position are used in an augmented nonlinear model to observe the dynamic states and parameters of the beam by the continuous-discrete extended Kalman filter (EKF). The presence of undesirable structural change is detected by variations of the first resonance estimate computed from the observed equivalent mass, stiffness, damping, and voltage-force conversion coefficients. A fault signal is generated upon its departure from a predetermined nominal tolerance band. The algorithm is implemented using automatically generated and deployed machine code on an electronics prototyping platform, featuring an economically feasible 8-bit microcontroller unit (MCU). The validation experiments demonstrate the viability of the proposed system to detect sudden or gradual mechanical changes in real-time, while the functionality on low-cost miniaturized hardware suggests a strong potential for mass-production and structural integration. The modest computing power of the microcontroller and automated code generation designates the proposed system only for very flexible structures, with a first dominant resonant frequency under 4 Hz; however, a code-optimized version certainly allows much stiffer structures or more complicated models on the same hardware.<br/> &copy; 2015 Gergely Tak&aacute;cs et al.","Takacs, Gergely and Vachalek, Jan and Rohal'-Ilkiv, Boris",2015,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Experimental and crash-worthiness optimization of end-capped conical tubes under quasi-static and dynamic loading","In the present study, the energy absorption capacity of thin-walled end-capped conical geometries is taken into consideration and the collapse of the absorbers under different loading types and strengths is investigated. First, the manual spinning method is utilized in order to manufacture the specimen. The manufacturing geometry quality of the parts is then evaluated. Next, quasi-static load-deflection tests are employed to investigate the collapse process as well as the calculation of energy absorption for conical tubes. Drop experiments are carried out using a free flight drop tower on the conical tubes to obtain the acceleration time-history of the hammer. The time history of hammer velocity change during its collision with the energy absorber, the mean collapse load of the absorber and absorbed energy are calculated. The explicit FE code Abaqus/explicit is employed and validated using dynamic experimental data. Finally, a multi-objective optimization method is used to find the tube geometry which has the maximum energy absorption and specific energy absorption. The results show that the impactor's velocity, as well as the geometrical characteristics of the end-capped conical tubes, have significant effects on the energy absorption and specific energy absorption capacity.<br/> &copy; 2018 Taylor & Francis Group, LLC","Rahi, Abbas",2018,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Mathematical modeling of steel heat treating using CCT diagrams","Mathematical modeling is a powerful tool to design, control and optimize heat-treating processes. However, the complex interactions occurring between the thermal, microstructural, and stress fields inside the part during those processes (which must be taken into account in detailed modeling work) precludes its use in many instances-especially in a production environment. Thus, it is desirable to find methodologies that can speed up the simulations while maintaining the mathematical model close to reality. In this work, the evolution of the microstructural field was estimated from fraction-transformed-temperature correlations derived directly from a published continuous-cooling-transformation (CCT) diagram, which uses the cooling rate at 750&deg;C as the x-axis. This approach ""softens"" the coupling between the thermal and fraction-transformed fields resulting in an efficient algorithm. The thermal field evolution was computed using standard procedures embedded in the commercially available code Abaqus, whereas empirical equations describing the fraction transformed-temperature relationships were programmed through user subroutines. The mathematical model was validated by comparing measured and model-predicted thermal response and final microstructure. In the experiments, austenitized AISI 4140 steel cylindrical probes (0.5-in. diameter &times; 2-in. length) were cooled in: (1) still air, and (2) a fluidized bed reactor, both at room temperature. The thermal response was measured during the cooling process by inserting two thermocouples: one at the geometrical center of the probe and the other near the probe surface, at mid-length. The latter was input to a code developed in-house to estimate the surface heat flux history, which constitutes the active boundary condition for the direct heat conduction problem and was, in turn, fed to the computational model. Once heat treated, the probes were prepared for metallographic observation using standard techniques. The results indicate that the proposed methodology can be used for predicting the thermo-microstructural evolution during a heat-treating process.<br/> &copy; 2012 by ASTM International.","Hernandez-Morales, B. and Tellez-Martinez, J.S. and Duenas-Perez, A.M. and Diaz-Cruz, M.",2012,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Bridging the gap between ABET outcomes and industry expectations - A case study on software engineering course","The role of ABET accreditation system is quite significant in providing guidance towards program and course design. The program outcomes encompassing through knowledge, skill and attitude play an important role towards competency development of the students. To improve the employability quotient of these fresh graduates, the alignment of respective outcomes along with the base lined expectations of IT industry is needed. In this context Software Engineering (SE) plays an important role in the transformation journey of the graduates to become entry level developers. It also helps to bridge the gap between academia and IT industry so that these new hires are productive as soon as possible. In this paper, the expectations of an IT industry from the new hires is described in conjunction with ABET educational outcomes highlighting pedagogical aspects that enable students develop these abilities. SE course is used as vehicle and an approach is presented integrating software code of ethics (recommended by ACM - IEEE), SE principles, pedagogical aspects and assessment instruments. Subsequently experiences from our corporate learning environment are highlighted.<br/> &copy; 2014 IEEE.","Seshagiri, Saradhi and Goteti, Lns Prakash",2014,"[""Engineering Village""]","Rejeitado: CR10","Rejeitado: CR10"
"Time-dependent damage characteristics of steel-concrete composite structures under rarely occurred earthquake","For steel-concrete composite structure, the dynamic elastic-plastic time history analysis method is utilized to obtain the structural dynamic response under the rarely occurred earthquake. The seismic damage time-dependent model, which integrates global method and weighting combination method, respectively, is utilized to study the structural damage time-dependent characteristics under the rarely occurred earthquake. Considering that the parameters such as the stiffness and the damping are constants in the calculation but have the variable characteristics in the whole service period, they are treated as pseudo variables. A typical steel-concrete composite sample is studied. The results show that the damage has significantly time-dependent characteristics under rare earthquake and maybe exceeds the performance limits specified in the code. The stiffness change can cause the changes of lateral resistance force and earthquake conduction ability, thus leading to the significant fluctuations of the time-dependent damage. The influence of lateral resistance force on damage plays a dominant role. The more severe the earthquake, the greater the effect of earthquake conduction ability on damage. This can lead to more significant fluctuation of damage and vibration shapes. Comparing the time-dependent damage values and the design values without considering material time-dependent characteristics, it can be found that the material time-dependent characteristics have an important effect on the accuracy of the seismic design and evaluation.<br/> &copy; 2017, Editorial Department of Journal of Southeast University. All right reserved.","Wang, Ying and Wang, Ruozhu and Li, Zhaoxia",2017,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Optimal power allocation in DS-CDMA with adaptive SIC technique","This paper proposes an optimal power allocation in direct sequence-code division multiple access (DS-CDMA) system. The objective is to minimize total transmit power, while simultaneously meeting the certain sum channel capacity (data transmission rate) and outage probability constraints on Rayleigh fading channel. Then a weighted correlator with an adaptive successive interference cancelation (SIC) scheme is developed using neural network (NN) for an improvement in receiver performance. A closed mathematical form of joint probability of error (JPOE) is derived. This determines the number of active users' interfering effect that needs to be canceled in order to achieve a desired bit error rate (BER) value. Mathematical analysis shows that better receiver performance can be achieved through large change in weight up-gradation (w) for the strong users with a particular change in learning rate (&eta;). Simulation results in terms of sum capacity as well as weak user's (users with poor channel gain) capacity, outage probability and BER performance duly support the effectiveness of the proposed scheme over the existing works. &copy; 2013 Springer Science+Business Media New York.<br/>","Maity, Santi P. and Hati, Sumanta and Maji, Chinmay",2014,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Multi-point seismic motions based on focal mechanism and considering local site multi-layer soil effect: Theory and program implementation","In this paper, a framework for generating multi-point earthquake motion of target filed in China, basing on focal mechanism and taking account of the spatial variability of soil properties, is given and proposed. The main contents include: (1) the transfer function of site including multiple soil layers is es-tablished based on random vibration theory, (2) based on the improved bedrock spectrum applicable to the target site in China, the variability among different site condition is reflected by establishing the transfer function of local site, (3) non-flat factor of site surface is considered on the basis of previous literature, (4) explicit expression phase-angle change by the filtration of multiple soil layers is also given for the convenience of the subsequent program code. Then, according to the theory framework, the visual program MEMS V2011.6 (Multi-support Earthquake Motions Simulation Version 2011.6) is developed and run successfully. The specific functions of the program involves the focal parameters assignment, inputting soil parameters, calculating and displaying transfer function of site soil with multi-layer, adjusting non-stationary parameters and frequency, generating multi-point earthquake motion histories, verifying the coherence of spatial seismic motions, fitting code-specified spectrum for bridge, building and electronic facility. In addition, based on a bridge example, the multi-point seismic motions of the target field are generated using the program MEMS V2011.6, and the sensibility analysis of the generated ground motions to local site effect and epicentral distance is analyzed as well. The content in this paper involve theory and practicability, and can provide directly reference for engineering.<br/>","Liu, Guo-Huan and Lu, Xin-Zheng and Guo, Wei",2012,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Video quality assessment based on the improved LSTM model","With the development of computer and network technologies, video service and content will continue to dominate while comparing to all other applications. It is particularly important to build a real-time and effective video quality assessment system. Video content, network status, viewing environment and so on will affect the end user quality of experience (QoE). In this work, we evaluate the prediction accuracy and code running time of Support Vector Machine (SVM), Decision Tree (DT) and Long Short Term Memory (LSTM). Moreover, we try to further improve the prediction accuracy from two aspects. One is to introduce some new input features to change the characteristic parameters. The other is to combine the LSTM with traditional machine learning algorithms. Experimental results show that the QoE prediction accuracy can be improved with the increased characteristic parameters. It is worth mentioning that the prediction accuracy can be increased by 8% with the improved LSTM algorithm.<br/> &copy; Springer International Publishing AG 2017.","Bao, Qiuxia and Huang, Ruochen and Wei, Xin",2017,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Selection and ranking of optimal routes through genetic algorithm in a cognitive routing system for mobile ad-hoc network","Genetic algorithm can be used for proper selection and ranking of all possible variable route addresses in mobile ad-hoc network (MANET). Ranking is based upon priority code of the links. A priority code is calculated by respective routing protocol, which depends on different parameters and metrics. A node can change its position and new nodes may join the MANET, so genetic algorithm can better estimate such kind of variations through its crossover and mutation genetic operators. Genetic algorithm is especially useful in cases of novel cognitive routing for MANET. Cognition in MANET is either based upon learning automata method as in some wireless sensor networks or specialized cognitive neural networks. Ranking of optimal links in MANET after a regular interval through genetic algorithm enhance the performance of cognitive routing. It help in proper selection of desired routing protocol for a given set of network conditions. &copy; 2012 IEEE.<br/>","Afridi, Muhammad Ishaq",2012,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Variation factors in the design and analysis of replicated controlled experiments: Three (dis)similar studies on inspections versus unit testing","In formal experiments on software engineering, the number of factors that may impact an outcome is very high. Some factors are controlled and change by design, while others are are either unforeseen or due to chance. This paper aims to explore how context factors change in a series of formal experiments and to identify implications for experimentation and replication practices to enable learning from experimentation. We analyze three experiments on code inspections and structural unit testing. The first two experiments use the same experimental design and instrumentation (replication), while the third, conducted by different researchers, replaces the programs and adapts defect detection methods accordingly (reproduction). Experimental procedures and location also differ between the experiments. Contrary to expectations, there are significant differences between the original experiment and the replication, as well as compared to the reproduction. Some of the differences are due to factors other than the ones designed to vary between experiments, indicating the sensitivity to context factors in software engineering experimentation. In aggregate, the analysis indicates that reducing the complexity of software engineering experiments should be considered by researchers who want to obtain reliable and repeatable empirical measures.<br/> &copy; 2013, Springer Science+Business Media New York.","Runeson, Per and Stefik, Andreas and Andrews, Anneliese",2014,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Effect of loading modes on the limit behaviors for pipe bends under combined loads","Pipe bends are widely used in industrial piping and pipelines. Because of their flexibility properties, they can accommodate thermal expansions and absorb other externally induced loads. Under severe loading conditions, bends exhibit significant cross-section ovalization, associated with strains well beyond the elastic limit and fail because of excessive cross-section ovalization. The past references provide several studies on the ovalization induced loading capacity change. The main aim of the study is to establish the effects of load history on the calculated failure load, when a bend is subjected to a combination loading of in-plane bending, torsion and internal pressure. The results of the investigation show that geometric nonlinearity is a significant consideration when calculating plastic failure loads of pipe bends subject to combined loads. The limit load is path independent of the loading sequence in the cases of bending and torsion combinations. In the cases of pressure and moment combinations the proportional and pressure-moment load cases exhibit significant geometric strengthening, whereas the moment- pressure load case exhibits a little. The results according to the ASME Boiler and Pressure Vessel Code may show overall conservative in all loading conditions.<br/> Copyright &copy; 2016 by ASME.","Li, Jian and Zhou, Changyu and He, Xiaohua",2016,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Influence of different seismic shear force coefficient control methods on seismic performance of a super-tall building","The seismic shear force coefficient is the key parameter of structural seismic design. There are clear specifications for the minimum seismic shear force coefficient in Chinese seismic design code. When this requirement cannot be satisfied, it is required to adjust the design base shear force and story shear force to meet the limitation. If the gap between the target design base shear force and the actual base shear force is too large, it is required to change the structural arrangement or the structural system. Engineering practice shows that if using the method of changing structural arrangement, the amount of construction materials will be too large for a super-tall building whose vibration period is very long and the minimum seismic shear force coefficient is hard to meet the requirement. A super-tall building using three control methods of seismic shear force coefficient was studied. The seismic performance and amount of construction materials were compared and analyzed through elastic analysis and elasto-plastic analysis. The model A, whose structural stiffness was adjusted to meet the seismic shear force coefficient limit, has the largest structural stiffness and highest cost. The model B, whose designed base shear force was adjusted to meet the minimum seismic shear force and the maximum story drift, has lower cost and smaller structural stiffness than the model A. The model C, whose designed base shear was adjusted to meet the minimum seismic shear force has lower cost and smaller structural stiffness than the model B. After large numbers of nonlinear time history analysis, it is found that all the models can meet the displacement limitations in the code. The displacement response of the model B and model C are close. The displacement response of the model A is a bit smaller than the other models.<br/>","Liu, Bin and Qi, Wuhui and Ye, Lieping and Lu, Xinzheng and Chen, Binlei",2014,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Two-dimensional ablation and thermal response analyses for mars science laboratory heat shield","This paper examines transient simulations performed to predict in-depth thermal response and surface recession of the proposed heat shield material for the Mars Science Laboratory entry capsule, that is, phenolic impregnated carbon ablator. The finite volume material response code used in this paper solves the time-dependent governing equations, including energy conservation and a three-component decomposition model, with a surface energy-balance condition and a moving grid system to predict shape change due to surface recession. The predicted in-depth thermal response of heat shield material generally agrees well with the thermocouple data under various arcjet conditions. Also, two-dimensional computations using aerothermal environment for Mars entry (derived from a proposed three-sigma trajectory) are performed around the heat shield shoulder region, where high heating occurs as the result of angle of attack. Parametric studies are conducted to examine the effects of carbon-fiber orientation, material properties, and surface recession on heat shield bondline temperature history. It is proved that the fiber orientation configuration of the baseline heat shield has the lowest maximum bondline temperature.<br/> Copyright Clearance Center, Inc.","Chen, Yih-Kanq and Gokcen, Tahir and Edquist, Karl T.",2015,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Steamfront detection using time-lapse micro-gravity inversion","Objectives/Scope: PDO 4D gravity inversion is aimed at detecting lateral steam chest movement within a highly fractured carbonate oil reservoir. The PDO field uses Thermally Assisted Gas-Oil Gravity Drainage (TA-GOGD) method to produce the low API oil. The shallow reservoir rests at about 300 meters below the surface. Methods/Procedures/Process: We use regularized least-squares inversion code to invert for reservoir 4D density changes between base and repeat. Base gravity survey is carried out in 2013 and two repeat surveys in 2015 and 2016. Two methods of gravity surveying were deployed in 2013, relative and absolute gravity surveys, to acquire a total of 302 points per each method. Only relative surveys were acquired for both 2015 and 2016 repeat surveys. Relative surveys used a CG5 gravimeters, while the absolute gravity survey used the A10 Micro-g LaCoste specialized instrument to measure absolute gravity at each point. In this study the calculated 4D gravity signal is based on the difference between the 2013 Absolute base survey and the Relative repeats in 2015 and 2016. Gravity survey data is known to suffer from different types of noise, the highest of which is the gravity overprint caused by shallow water aquifer water level changes on the reservoir gravity signal, and secondly, any changes in surface elevation. Using water level monitoring wells we estimated shallow aquifer signal and removed from the observed gravity data values prior to inversion. Surface elevation changes are tracked using InSAR satellite data. Also, observed gravity data is pre-conditioned by removing outliers and de-bias the data to improve inversion stability. Results/Observations/Conclusions: After the removal of the shallow aquifer gravity signal, the observed 4D gravity anomaly is found to vary between 21&mu;Gal to -35 &mu;Gal between 2016-2013, which is relatively comparable with an estimated forward 4D gravity signal calculated from history matched reservoir models for the same periods of time (2013-2015 &amp; 2013-2016). The Least Squares inversion is carried out assuming a single reservoir layer of a certain (heated) thickness, inverting the 4D gravity signal to estimate the density changes at the reservoir for the periods 2013-2015 and 2013-2016. The inversion results, with the shallow aquifer compensated, do not show dramatic difference with the non compensated inversion. Assuming a thickness of the steamed/heated zone 100m, the estimated change in density varies between -29 kg/m3 to 12 kg/m3. We find the largest negative anomaly to correspond with the steam injection area. We concludefrom this work that 4D gravity signal is detectable, which is the result from reservoir density changes caused by steam injection. A steam chest outline can be estimated by applying a density cut-off. Also, we conclude from this study that surface elevation changes error contribution in this field is negligible, and a single elevation survey combined with time-lapse, InSAR satellite elevation changes is sufficient for both base and repeat survey.<br/> Copyright 2017, Society of Petroleum Engineers.","Al-Lazki, Ali and Al-Ismaili, Ali and Stammeijer, Johannes and Hamm, Mark",2017,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"Toward enhanced forming simulation of woven fabrics using a coupled non-orthogonal hypoelastic constitutive model, integrated with a new wrinkling onset criterion","One of the advantages of woven fabrics over unidirectional prepregs is their superior formability thanks to the large shear deformation capability. There exists, however, a limit on the shear deformation of woven fabrics, namely the wrinkling. Applying tension to delay wrinkling during forming processes, a consequence of the inherent coupling in woven fabrics, is widely known to the industry. Yet, inherent coupling - change in the effective material properties of a given direction of the fabric due to the applied deformation in other directions - has not been fully understood and implemented in the forming simulations of fabric reinforcements. Coupling should be incorporated in numerical optimization routines to accurately predict the deformation of the material under complex forming set-ups, and more importantly to predict a realistic yarn tension level that can suppress wrinkles. Towards this goal, the present study proposes and implements a new coupled non-orthogonal model which predicts not only the stress-strain path, but also the critical point (shear wrinkling) of the woven fabrics, under combined loading conditions similar to the draping processes. Furthermore, the study reveals that the concept of inherent coupling raises a new issue in fabric forming simulations; the load history dependency of the fabric. Accordingly, the constitutive model has been enhanced to a hypoelastic form to capture the load path dependency of the forming material. Finally, the constitutive model has been integrated with a newly developed analytical fabric instability criterion by authors to account for the occurrence of wrinkling, based on the fabric properties and the level of tension applied during forming. To show its application, the model has been implemented in ABAQUS via a UMAT code to predict the stress and strain fields as well as the onset of wrinkling under large shear deformations.<br/> &copy; 2017 by DEStech Publications, Inc.","Kashani, M. Haghi and Hejazi, M. and Hosseini, A. and Sassani, F. and Ko, F. and Milani, A.S.",2017,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
"The performance assessment of a multi-span, box girder reinforced concrete bridge with and without seismic isolation","This paper investigates earthquake performance of a multi-span, box girder R/C bridge with and without isolation. Bridges and viaducts are important structures since they must be functional immediately and remain stable after an earthquake. For this reason, seismic isolations can be used to decrease the effects of earthquake loads on bridges. Seismic isolation on a bridge elongates the period of structure, thus the inertia and the earthquake forces are decreased without a significant change in the stiffness of the structure. Among various types of seismic isolators used in engineering practice, lead rubber bearing (LRB) was used in this study. Performance assessment was applied to the un-isolated and isolated bridge to make some comparisons, and the benefits of isolation were discussed. Linear elastic method, nonlinear static method (pushover analysis) and nonlinear time history analysis, which are defined in Turkish Earthquake Code (TEC) 2007, were used for performance assessment. &copy; Civil-Comp Press, 2012.<br/>","Borekci, M. and Altun, M. and Arslan, G.",2012,"[""Engineering Village""]","Rejeitado: CR9","Rejeitado: CR9"
